Algorithm,Attack_Type,Intensity,PSNR,SSIM,SD
Chaos Bit Shuffle (Opt),gaussian,0.010000,9.926564,0.032775,17253.974938
Hyperchaotic 2D,contiguous_crop,0.100000,19.030614,0.389678,6422.467775
Hyperchaotic 2D,contiguous_crop,0.250000,15.125099,0.197283,9925.265958
Hyperchaotic 2D,contiguous_crop,0.500000,12.143253,0.089677,13671.624134
Hyperchaotic 2D,contiguous_crop,0.750000,10.401054,0.040188,16199.016536
Hyperchaotic 2D,crop,0.100000,14.918033,0.185249,10154.240022
Hyperchaotic 2D,crop,0.250000,11.572642,0.075302,14458.432443
Hyperchaotic 2D,crop,0.500000,9.838931,0.024497,17022.969003
Hyperchaotic 2D,crop,0.750000,9.280116,0.011795,17842.936584
Hyperchaotic 2D,tamper,0.100000,19.090980,0.392054,6382.127979
Hyperchaotic 2D,tamper,0.250000,15.127309,0.196841,9940.465024
Hyperchaotic 2D,tamper,0.500000,12.196159,0.092581,13560.530680
Hyperchaotic 2D,tamper,0.750000,10.432667,0.041032,16111.311120
Hyperchaotic 2D,salt_pepper,0.010000,24.558400,0.704214,3415.861604
Hyperchaotic 2D,salt_pepper,0.050000,17.730873,0.314791,7436.464578
Hyperchaotic 2D,salt_pepper,0.100000,14.941610,0.188057,10140.342083
Hyperchaotic 2D,salt_pepper,0.200000,12.311219,0.095617,13411.488773
Hyperchaotic 2D,gaussian,0.000010,21.482982,0.499748,4866.894504
Hyperchaotic 2D,gaussian,0.000100,17.029229,0.271542,8078.494440
Hyperchaotic 2D,gaussian,0.001000,13.346173,0.128299,12144.174419
Hyperchaotic 2D,gaussian,0.010000,10.211742,0.035709,16564.929309
Hu & Tian,contiguous_crop,0.100000,19.213937,0.395448,6094.730356
Hu & Tian,contiguous_crop,0.250000,15.267832,0.197784,8937.563881
Hu & Tian,contiguous_crop,0.500000,12.253832,0.090115,10714.652696
Hu & Tian,contiguous_crop,0.750000,10.455105,0.038315,9988.046574
Hu & Tian,crop,0.100000,19.140909,0.391189,6148.048367
Hu & Tian,crop,0.250000,15.308830,0.198464,8915.563719
Hu & Tian,crop,0.500000,12.224505,0.086810,10762.532830
Hu & Tian,crop,0.750000,10.494338,0.040241,10030.044386
Hu & Tian,tamper,0.100000,19.208628,0.392277,6139.126652
Hu & Tian,tamper,0.250000,15.274824,0.199514,9378.580152
Hu & Tian,tamper,0.500000,12.284646,0.094128,12864.054096
Hu & Tian,tamper,0.750000,10.477974,0.040715,14838.461562
Hu & Tian,salt_pepper,0.010000,29.698351,0.888929,1889.869673
Hu & Tian,salt_pepper,0.050000,22.290196,0.585568,4370.695713
Hu & Tian,salt_pepper,0.100000,19.314324,0.402031,6037.019552
Hu & Tian,salt_pepper,0.200000,16.193610,0.236362,8239.241096
Hu & Tian,gaussian,0.000010,49.457840,0.995590,194.820421
Hu & Tian,gaussian,0.000100,40.001629,0.963391,578.345685
Hu & Tian,gaussian,0.001000,30.123013,0.764684,1803.462094
Hu & Tian,gaussian,0.010000,18.956260,0.336702,6510.140669
Hyperchaotic Adaptive,contiguous_crop,0.100000,10.105144,0.049527,17308.749501
Hyperchaotic Adaptive,contiguous_crop,0.250000,8.470538,0.021738,20603.070670
Hyperchaotic Adaptive,contiguous_crop,0.500000,7.016605,0.008868,23289.404818
Hyperchaotic Adaptive,contiguous_crop,0.750000,6.033596,0.007438,21519.072203
Hyperchaotic Adaptive,crop,0.100000,10.141135,0.052035,17254.365011
Hyperchaotic Adaptive,crop,0.250000,8.523607,0.022982,20569.798570
Hyperchaotic Adaptive,crop,0.500000,7.023399,0.010180,23239.934774
Hyperchaotic Adaptive,crop,0.750000,6.002897,0.005236,21604.637596
Hyperchaotic Adaptive,tamper,0.100000,9.879257,0.041530,17572.640633
Hyperchaotic Adaptive,tamper,0.250000,8.765451,0.017102,19644.058922
Hyperchaotic Adaptive,tamper,0.500000,8.223339,0.010306,20631.749252
Hyperchaotic Adaptive,tamper,0.750000,7.749483,0.008448,20977.263029
Hyperchaotic Adaptive,salt_pepper,0.010000,13.099467,0.128014,12543.435496
Hyperchaotic Adaptive,salt_pepper,0.050000,11.242270,0.075898,15345.848850
Hyperchaotic Adaptive,salt_pepper,0.100000,10.196436,0.053340,17189.877638
Hyperchaotic Adaptive,salt_pepper,0.200000,8.987176,0.030448,19621.953289
Hyperchaotic Adaptive,gaussian,0.000010,9.696429,0.024001,17392.727285
Hyperchaotic Adaptive,gaussian,0.000100,9.303408,0.013328,17900.686820
Hyperchaotic Adaptive,gaussian,0.001000,9.118691,0.010250,18287.201240
Hyperchaotic Adaptive,gaussian,0.010000,8.794507,0.008527,19125.449503
